id	owner	object_type
0x8a27cd9de624d113830ddf9040e5afd5148acb7570ae8b618fc27afd8cee3188	0xfde8e7c4f37a8cf794f3a7dcc905a815a41bf235b0c05b5d8284e7e93c23b52a	0x3::coin_store::CoinStore<0x701c21bf1c8cd5af8c42983890d8ca55e7a820171b8e744c13f2d9998bf76cc3::grow_bitcoin::GROW>
0x85d00c85a57b748fd9d7c65ebd0b1579c7c7189d177656ddfe0b07e5a691376b	0x9bd37955a874079b23e678400c8d69bd339bb0f80dee6ba14b449aea9f9ac8e8	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xd92a6d88ebfa2a6dc0efacb00a8d786eef8a5cd576ee1d0e18c7b1f73e8114a9	0xbf82d85e592030901cca9494d682ed90aeb913ff7c8ce895a7f7401a9e2009f6	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xc2a0b3a5d1e139c65c66657727c076e3ac2909af59be0fd827e8a4a4e0d9116e	0x838c1ccdc9d613444bde368145135f11072d8bdb7081de6eb8088387b5936874	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x945f227d3a6d04b227a13a0ea1fe6e24e7cc974d0ffbc2cc1768f06c6032c1fb	0x5960e92761ab845dc4323e66d6562613f8204e6c236dfd879b75a0fa9a841b2d	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x706ced51f636adef3abe338f82bcf59a8ab0cbe253ff197719622e4d38577788	0x4073008bf30bce1832d7c2d8b3efaca1b78f3dda586e9a412a48919342fe6dfe	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x2da319b0dc99b862578806dcd7a71eb5b45b0f86a64c0d1c9067d2fd9baa5121	0xa61eb685698401bb5714d222f967aac82df4c8bd1c907d92f1d6a5e0d0748015	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x6d8232538d044d47ef90b26a6ffbe73af36155532384df96a5a4ddefdd27da8c	0x4073008bf30bce1832d7c2d8b3efaca1b78f3dda586e9a412a48919342fe6dfe	0x3::coin_store::CoinStore<0x701c21bf1c8cd5af8c42983890d8ca55e7a820171b8e744c13f2d9998bf76cc3::grow_bitcoin::GROW>
0xc0f0890c1365aa236e633f01b1453685b2bf4e0856d7d50008604be2399c0eaf	0xc001d409bd8fe194305e8902f476970861b0e50e7eb84e43265e6b8f26e64500	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x604e7fe1e46f34e52cb0d08b5719ac88443e1fa65a8b7bce5434b2a8eb3c19c4	0x533e06a2398e12191c6fe9db91779251153a118316f7420eeff40df898ad582a	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x071f07f6532b681d2cf625a2b7d6735fc06ce6b992772397bbfe7ff5bb429d0e	0x52b33956a804ace92ca4644e4b9f92fd372ac48f4a7e4589d3cb1739216faa72	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x30489b115deefe23f74b5d47a6e607e929e1211b833f5efdcf8e1d5d4fa779a7	0x11904a8d7822c2040ccf43ab44134f4d31f4a75d96dd7e0903a6a5710a81045b	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xa1736783b50b9676b0cb79ccc13b1140ef76a29b5fb229804e55625969c0cbcc	0x8f95de5d6e20d590a93b961ae6fa2c489de943a6f55187ef325ffc40a1cdd64	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x40e56d1863b4c3eedbb23b79a81ae115582b0af5b0cf43d4e9c676bfcf45508d	0x9a6857ade498b0dd191675bb50c96fad60dc1d3129c081f755672aeaa54f6290	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
